sexe;deptgeo;deptgeo_Autre;deptformation;niveau;reprise;alternant;bourse;travail;logement;logement_Autre;fumer;alimentation;sante;fan;sport;raisonnonsuaps;raisonnonsuaps_Autre;sportavant;typessportavant_1;typessportavant_2;typessportavant_3;typessportavant_4;typessportavant_5;typessportavant_6;typessportavant_7;typessportavant_8;typessportavant_9;typessportavant_Autre;raisonarretsport;raisonarretsport_Autre;covid;raisonjamaissport;raisonjamaissport_Autre;cadresport_1;cadresport_2;sportsuaps_1;sportsuaps_2;sportsuaps_3;sportsuaps_4;sportsuaps_5;sportsuaps_6;sportsuaps_7;heuressuaps;bonif;satisfsuaps;raisonnonsatisfsuaps_1;raisonnonsatisfsuaps_2;raisonnonsatisfsuaps_3;raisonnonsatisfsuaps_4;raisonnonsatisfsuaps_Autre;lieu_1;lieu_2;lieu_3;lieu_Autre;sportsnonsuaps_1;sportsnonsuaps_2;sportsnonsuaps_3;sportsnonsuaps_4;sportsnonsuaps_5;sportsnonsuaps_6;sportsnonsuaps_7;sportsnonsuaps_8;sportsnonsuaps_9;sportsnonsuaps_Autre;cadrenonsuaps_1;cadrenonsuaps_2;tempsnonsuaps;compet;motiv;motiv_Autre;passersport;argument;argument_Autre;refairesport;reussite
Une femme;Autre;29;HSE;BUT1;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Natation;;;;;;;1h ou moins;Non;Oui;;;;;;A Niort;;;;Running, athlétisme;;;;;;;;;;Pratique libre;;3h;Non;Autre;projet pro;Ce serait difficile;;;;Tout à fait d'accord
Une femme;85;;HSE;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Non;Non;Les activités proposées ne vous conviennent pas;;Oui;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;
Un homme;79;;HSE;BUT1;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;salle de sport et sport de combat;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;72;HSE;BUT2;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;S'amuser;;Oui sans trop de problème;;;;Tout à fait d'accord
Un homme;79;;GEA;BUT2;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;Musculation;;;;;;;3h ou plus;;;;;;;;A Niort;Près de votre domicile familial;;;Football;Sport de raquette;Sport collectif auttre que foot;Gym, fitness, zumba...;Sport d'eau;Running, athlétisme;Cyclisme;Yoga;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Oui sans trop de problème;;;;Tout à fait d'accord
Un homme;79;;HSE;BUT2;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;Volley;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport de raquette;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;85;;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;17;;HSE;BUT2;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;Running, athlétisme;;;;;;;;;Club, association;Pratique libre;4h ou plus;Oui;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;85;;HSE;BUT2;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;;;;;;;;;;Club, association;;4h ou plus;Oui;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;49;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
